candidate,primary_selected,window,scenario,cohort,count,median_cagr,median_total_return,median_excess_cagr,outperform_rate,median_sharpe,median_sharpe_excess,higher_sharpe_rate,sharpe_pairs,median_drawdown,median_exposure,median_entries,activity_rate,all_cash,cagr8_rate,positive_rate
R11_BREADTH250_0.15_0.65,False,full,delay1,full10,275,4.816294947513455,60.01040121186598,-0.8032763265655394,0.45454545454545453,0.36329709210494143,0.004874079135461451,0.5018181818181818,275,39.245043494970844,0.18203982121088988,3.0,1.0,0,0.24363636363636362,0.9163636363636364
R11_BREADTH250_0.15_0.65,False,reserved,base,all,461,0.0,0.0,-14.492498869366033,0.2603036876355748,,,,0,0.0,0.0,0.0,0.0,461,0.0,0.0
R11_BREADTH250_0.15_0.65,False,reserved,base,primary,381,0.0,0.0,-16.5138943611717,0.1968503937007874,,,,0,0.0,0.0,0.0,0.0,381,0.0,0.0
R11_BREADTH250_0.15_0.65,False,reserved,base,full10,275,0.0,0.0,-17.492612970028574,0.1781818181818182,,,,0,0.0,0.0,0.0,0.0,275,0.0,0.0
R11_BREADTH250_0.15_0.65,False,reserved,cost2x,all,461,0.0,0.0,-14.36403065485079,0.2603036876355748,,,,0,0.0,0.0,0.0,0.0,461,0.0,0.0
R11_BREADTH250_0.15_0.65,False,reserved,cost2x,primary,381,0.0,0.0,-16.383158006191167,0.1968503937007874,,,,0,0.0,0.0,0.0,0.0,381,0.0,0.0
R11_BREADTH250_0.15_0.65,False,reserved,cost2x,full10,275,0.0,0.0,-17.360778427538513,0.1781818181818182,,,,0,0.0,0.0,0.0,0.0,275,0.0,0.0
R11_BREADTH250_0.15_0.65,False,reserved,delay1,all,461,0.0,0.0,-14.79095438303828,0.26247288503253796,,,,0,0.0,0.0,0.0,0.0,461,0.0,0.0
R11_BREADTH250_0.15_0.65,False,reserved,delay1,primary,381,0.0,0.0,-16.5138943611717,0.1968503937007874,,,,0,0.0,0.0,0.0,0.0,381,0.0,0.0
R11_BREADTH250_0.15_0.65,False,reserved,delay1,full10,275,0.0,0.0,-17.492612970028574,0.1781818181818182,,,,0,0.0,0.0,0.0,0.0,275,0.0,0.0
R11_weekly_0.2_0.7,False,full,base,all,461,7.245484114895895,83.58069485955613,3.563201721105269,0.6290672451193059,0.4893743062032278,0.15845982686431825,0.7090464547677262,409,36.28790947231253,0.24583502641202762,5.0,0.8872017353579176,52,0.4490238611713666,0.806941431670282
R11_weekly_0.2_0.7,False,full,base,primary,370,8.532901821986073,105.5459144902272,3.41020837725397,0.654054054054054,0.5103448238847794,0.16453804823913187,0.7351351351351352,370,40.151649833200395,0.24583502641202762,5.0,1.0,0,0.5297297297297298,0.9567567567567568
R11_weekly_0.2_0.7,False,full,base,full10,275,7.965918198530453,115.09929692118645,2.266661240119806,0.6218181818181818,0.4985948679846752,0.16120887650225635,0.7345454545454545,275,39.94137308572191,0.24583502641202762,5.0,1.0,0,0.49818181818181817,0.9636363636363636
R11_weekly_0.2_0.7,False,full,cost2x,all,461,7.084626179791487,80.847529639516,3.4319522382050494,0.6247288503253796,0.4823996580588704,0.1512948881516128,0.706601466992665,409,36.44250984454733,0.24583502641202762,5.0,0.8872017353579176,52,0.4403470715835141,0.8026030368763557
R11_weekly_0.2_0.7,False,full,cost2x,primary,370,8.370112883859125,102.8666179271307,3.285216374980787,0.6486486486486487,0.5034981997604344,0.15712773734572985,0.7324324324324324,370,40.16347871031029,0.24583502641202762,5.0,1.0,0,0.518918918918919,0.9513513513513514
R11_weekly_0.2_0.7,False,full,cost2x,full10,275,7.803979681432027,111.89688003497808,2.1342274242303505,0.6145454545454545,0.4921535731338244,0.1541984539727931,0.730909090909091,275,39.9413730857219,0.24583502641202762,5.0,1.0,0,0.48363636363636364,0.9563636363636364
R11_weekly_0.2_0.7,False,full,delay1,all,461,7.3221913391608995,82.30961064659417,3.40797214172075,0.631236442516269,0.491860406903099,0.17032369618983345,0.7017114914425427,409,35.81485532433276,0.24542868752539618,5.0,0.8872017353579176,52,0.44685466377440347,0.806941431670282
R11_weekly_0.2_0.7,False,full,delay1,primary,370,8.465212317502601,107.82473907497342,3.3707604026681492,0.6594594594594595,0.5007584525889025,0.17839487227671416,0.727027027027027,370,39.4330988495327,0.24542868752539618,5.0,1.0,0,0.5297297297297298,0.9513513513513514
R11_weekly_0.2_0.7,False,full,delay1,full10,275,8.128223884025122,118.3526127477725,2.2652713642205446,0.6327272727272727,0.5151505351072494,0.17032369618983345,0.7454545454545455,275,38.897285997179964,0.24542868752539618,5.0,1.0,0,0.5127272727272727,0.9636363636363636
